index,answer,count
1,"SNS(페이스북, 인스타그램, 트위터, 카카오스토리, 밴드, 네이버카페, 다음카페 등)",495
10,금융거래(인터넷 뱅킹 등),325
11,"투자 및 자산관리(주식 거래, 재테크 등)",305
12,게임,493
13,"영화/TV/동영상(유튜브, 넷플릭스 등)",1026
14,음악,525
15,라디오/팟캐스트,81
16,웹툰/웹소설/독서 등,279
17,사진(촬영 편집) 및 그림,203
18,여행,167
19,성인용콘텐츠,34
2,이메일,33
20,"사행성게임(스포츠 베팅, 온라인 도박 등)",17
21,뉴스보기,554
22,학업/업무용 검색,299
23,관심사(취미) 검색,556
24,지도/네비게이션,285
25,교육(원격수업/E-러닝/인터넷강의) 등,158
26,생성형 AI 서비스,119
3,"메신저(카카오톡, 인스타 DM, 페이스북 메신저, 텔레그램 등)",745
4,새로운 친구만남(어플리케이션),58
5,"생활관리(가계부, 일정관리, 목표관리, 일기 등)",156
6,"건강관리(만보기, 운동, 다이어트 등)",287
7,화상회의/원격근무,53
8,쇼핑(상품/서비스 구매),563
9,상품/서비스 판매(중고거래 포함),280
98,없음,0
